Pin name;WLCSP156;UFBGA169;LQFP176;LQFP208;TFBGA240+25;Pin type;I/O structure;AF0;AF1;AF2;AF3;AF4;AF5;AF6;AF7;AF8;AF9;AF10;AF11;AF12;AF13;AF14;AF15;Alternate functions;Additional functions;Footnotes;Remarks
PD4;A5;D8;147;174;A12;I/O;FT_h;;;HRTIM_FLT3;;;;SAI3_FS_A;USART2_RTS/USART2_DE;;;;;FMC_NOE;;;EVENTOUT;HRTIM_FLT3, SAI3_FS_A, USART2_RTS/USART2_DE, FMC_NOE, EVENTOUT;;;
PD5;F7;C8;148;175;A11;I/O;FT_h;;;HRTIM_EEV3;;;;;USART2_TX;;;;;FMC_NWE;;;EVENTOUT;HRTIM_EEV3, USART2_TX, FMC_NWE, EVENTOUT;;;
VSS;B6;;;;;S;;;;;;;;;;;;;;;;;;;;;
VDD;A6;B2;;;VDD;S;;;;;;;;;;;;;;;;;;;;;
PD6;C6;B8;149;176;B11;I/O;FT_h;;;SAI1_D1;DFSDM1_CKIN4;DFSDM1_DATIN1;SPI3_MOSI/I2S3_SDO;SAI1_SD_A;USART2_RX;SAI4_SD_A;;SAI4_D1;SDMMC2_CK;FMC_NWAIT;DCMI_D10;LCD_B2;EVENTOUT;SAI1_D1, DFSDM1_CKIN4, DFSDM1_DATIN1, SPI3_MOSI/I2S3_SDO, SAI1_SD_A, USART2_RX, SAI4_SD_A, SAI4_D1, SDMMC2_CK, FMC_NWAIT, DCMI_D10, LCD_B2, EVENTOUT;;;
PD7;D6;A8;150;177;C11;I/O;FT_h;;;;DFSDM1_DATIN4;;SPI1_MOSI/I2S1_SDO;DFSDM1_CKIN1;USART2_CK;;SPDIFRX1_IN1;;SDMMC2_CMD;FMC_NE1;;;EVENTOUT;DFSDM1_DATIN4, SPI1_MOSI/I2S1_SDO, DFSDM1_CKIN1, USART2_CK, SPDIFRX1_IN0, SDMMC2_CMD, FMC_NE1, EVENTOUT;;;AF mismatch — only in Table 8 summary [SPDIFRX1_IN0], only in AF table [SPDIFRX1_IN1]
PJ12;;;;;D11;I/O;FT;TRGOUT;;;;;;;;;LCD_G3;;;;;LCD_B0;EVENTOUT;TRGOUT, LCD_G3, LCD_B0, EVENTOUT;;;
PJ13;;;;;E10;I/O;FT;;;;;;;;;;LCD_B4;;;;;LCD_B1;EVENTOUT;LCD_B4, LCD_B1, EVENTOUT;;;
PJ14;;;;;D10;I/O;FT;;;;;;;;;;;;;;;LCD_B2;EVENTOUT;LCD_B2, EVENTOUT;;;
PJ15;;;;;B10;I/O;FT;;;;;;;;;;;;;;;LCD_B3;EVENTOUT;LCD_B3, EVENTOUT;;;
VSS;B9;B9;151;178;;S;;;;;;;;;;;;;;;;;;;;;
VDD;;;152;179;VDD;S;;;;;;;;;;;;;;;;;;;;;
PG9;;C7;153;180;A10;I/O;FT_h;;;;;;SPI1_MISO/I2S1_SDI;;USART6_RX;SPDIFRX1_IN4;QUADSPI_BK2_IO2;SAI2_FS_B;;FMC_NE2/FMC_NCE;DCMI_VSYNC;;EVENTOUT;SPI1_MISO/I2S1_SDI, USART6_RX, SPDIFRX1_IN4, QUADSPI_BK2_IO2, SAI2_FS_B, FMC_NE2/FMC_NCE, DCMI_VSYNC, EVENTOUT;;;
PG10;;D7;154;181;A9;I/O;FT_h;;;HRTIM_FLT5;;;SPI1_NSS/I2S1_WS;;;;LCD_G3;SAI2_SD_B;;FMC_NE3;DCMI_D2;LCD_B2;EVENTOUT;HRTIM_FLT5, SPI1_NSS/I2S1_WS, LCD_G3, SAI2_SD_B, FMC_NE3, DCMI_D2, LCD_B2, EVENTOUT;;;
PG11;;E7;155;182;B9;I/O;FT_h;;LPTIM1_IN2;HRTIM_EEV4;;;SPI1_SCK/I2S1_CK;;;SPDIFRX1_IN1;;SDMMC2_D2;ETH_MII_TX_EN/ETH_RMII_TX_EN;;DCMI_D3;LCD_B3;EVENTOUT;LPTIM1_IN2, HRTIM_EEV4, SPI1_SCK/I2S1_CK, SPDIFRX1_IN1, SDMMC2_D2, ETH_MII_TX_EN/ETH_RMII_TX_EN, DCMI_D3, LCD_B3, EVENTOUT;;;
PG12;;G7;156;183;C9;I/O;FT_h;;LPTIM1_IN1;HRTIM_EEV5;;;SPI6_MISO;;USART6_RTS/USART6_DE;SPDIFRX1_IN2;LCD_B4;;ETH_MII_TXD1/ETH_RMII_TXD1;FMC_NE4;;LCD_B1;EVENTOUT;LPTIM1_IN1, HRTIM_EEV5, SPI6_MISO, USART6_RTS/USART6_DE, SPDIFRX1_IN2, LCD_B4, ETH_MII_TXD1/ETH_RMII_TXD1, FMC_NE4, LCD_B1, EVENTOUT;;;
PG13;;F7;157;184;D9;I/O;FT_h;TRACED0;LPTIM1_OUT;HRTIM_EEV10;;;SPI6_SCK;;USART6_CTS/USART6_NSS;;;;ETH_MII_TXD0/ETH_RMII_TXD0;FMC_A24;;LCD_R0;EVENTOUT;TRACED0, LPTIM1_OUT, HRTIM_EEV10, SPI6_SCK, USART6_CTS/USART6_NSS, ETH_MII_TXD0/ETH_RMII_TXD0, FMC_A24, LCD_R0, EVENTOUT;;;
PG14;;E6;158;185;D8;I/O;FT_h;TRACED1;LPTIM1_ETR;;;;SPI6_MOSI;;USART6_TX;;QUADSPI_BK2_IO3;;ETH_MII_TXD1/ETH_RMII_TXD1;FMC_A25;;LCD_B0;EVENTOUT;TRACED1, LPTIM1_ETR, SPI6_MOSI, USART6_TX, QUADSPI_BK2_IO3, ETH_MII_TXD1/ETH_RMII_TXD1, FMC_A25, LCD_B0, EVENTOUT;;;
VSS;;;159;186;;S;;;;;;;;;;;;;;;;;;;;;
VDD;;;160;187;VDD;S;;;;;;;;;;;;;;;;;;;;;
PK3;;;;;C8;I/O;FT;;;;;;;;;;;;;;;LCD_B4;EVENTOUT;LCD_B4, EVENTOUT;;;
PK4;;;;;B8;I/O;FT;;;;;;;;;;;;;;;LCD_B5;EVENTOUT;LCD_B5, EVENTOUT;;;
PK5;;;;;A8;I/O;FT;;;;;;;;;;;;;;;LCD_B6;EVENTOUT;LCD_B6, EVENTOUT;;;
PK6;;;;;C7;I/O;FT;;;;;;;;;;;;;;;LCD_B7;EVENTOUT;LCD_B7, EVENTOUT;;;
PK7;;;;;D7;I/O;FT;;;;;;;;;;;;;;;LCD_DE;EVENTOUT;LCD_DE, EVENTOUT;;;
VDD;;B7;;;VDD;S;;;;;;;;;;;;;;;;;;;;;
PG15;A7;C6;161;188;D6;I/O;FT_h;;;;;;;;USART6_CTS/USART6_NSS;;;;;FMC_SDNCAS;DCMI_D13;;EVENTOUT;USART6_CTS/USART6_NSS, FMC_SDNCAS, DCMI_D13, EVENTOUT;;;
PB3(JTDO/TRACESWO);B7;A6;162;189;C6;I/O;FT;JTDO/TRACESWO;TIM2_CH2;HRTIM_FLT4;;;SPI1_SCK/I2S1_CK;SPI3_SCK/I2S3_CK;;SPI6_SCK;SDMMC2_D2;CRS_SYNC;UART7_RX;;;;EVENTOUT;JTDO/TRACESWO, TIM2_CH2, HRTIM_FLT4, SPI1_SCK/I2S1_CK, SPI3_SCK/I2S3_CK, SPI6_SCK, SDMMC2_D2, CRS_SYNC, UART7_RX, EVENTOUT;;;
PB4(NJTRST);A8;B6;163;190;B7;I/O;FT;NJTRST;TIM16_BKIN;TIM3_CH1;HRTIM_EEV6;;SPI1_MISO/I2S1_SDI;SPI3_MISO/I2S3_SDI;SPI2_NSS/I2S2_WS;SPI6_MISO;SDMMC2_D3;;UART7_TX;;;;EVENTOUT;NJTRST, TIM16_BKIN, TIM3_CH1, HRTIM_EEV6, SPI1_MISO/I2S1_SDI, SPI3_MISO/I2S3_SDI, SPI2_NSS/I2S2_WS, SPI6_MISO, SDMMC2_D3, UART7_TX, EVENTOUT;;;
PB5;B8;A5;164;191;A5;I/O;FT;;TIM17_BKIN;TIM3_CH2;HRTIM_EEV7;I2C1_SMBA;SPI1_MOSI/I2S1_SDO;I2C4_SMBA;SPI3_MOSI/I2S3_SDO;SPI6_MOSI;FDCAN2_RX;OTG_HS_ULPI_D7;ETH_PPS_OUT;FMC_SDCKE1;DCMI_D10;UART5_RX;EVENTOUT;TIM17_BKIN, TIM3_CH2, HRTIM_EEV7, I2C1_SMBA, SPI1_MOSI/I2S1_SDO, I2C4_SMBA, SPI3_MOSI/I2S3_SDO, SPI6_MOSI, FDCAN2_RX, OTG_HS_ULPI_D7, ETH_PPS_OUT, FMC_SDCKE1, DCMI_D10, UART5_RX, EVENTOUT;;;
VDD;A9;;;;VDD;S;;;;;;;;;;;;;;;;;;;;;
PB6;C7;E5;165;192;B5;I/O;FT_f;;TIM16_CH1N;TIM4_CH1;HRTIM_EEV8;I2C1_SCL;CEC;I2C4_SCL;USART1_TX;LPUART1_TX;FDCAN2_TX;QUADSPI_BK1_NCS;DFSDM1_DATIN5;FMC_SDNE1;DCMI_D5;UART5_TX;EVENTOUT;TIM16_CH1N, TIM4_CH1, HRTIM_EEV8, I2C1_SCL, CEC, I2C4_SCL, USART1_TX, LPUART1_TX, FDCAN2_TX, QUADSPI_BK1_NCS, DFSDM1_DATIN5, FMC_SDNE1, DCMI_D5, UART5_TX, EVENTOUT;;;
PB7;C8;C5;166;193;C5;I/O;FT_fa;;TIM17_CH1N;TIM4_CH2;HRTIM_EEV9;I2C1_SDA;;I2C4_SDA;USART1_RX;LPUART1_RX;;;DFSDM1_CKIN5;FMC_NL;DCMI_VSYNC;;EVENTOUT;TIM17_CH1N, TIM4_CH2, HRTIM_EEV9, I2C1_SDA, I2C4_SDA, USART1_RX, LPUART1_RX, DFSDM1_CKIN5, FMC_NL, DCMI_VSYNC, EVENTOUT;PVD_IN;;
BOOT0;D7;B5;167;194;E8;I;B;;;;;;;;;;;;;;;;;;VPP;;
PB8;A10;D5;168;195;D5;I/O;FT_fh;;TIM16_CH1;TIM4_CH3;DFSDM1_CKIN7;I2C1_SCL;;I2C4_SCL;SDMMC1_CKIN;UART4_RX;FDCAN1_RX;SDMMC2_D4;ETH_MII_TXD3;SDMMC1_D4;DCMI_D6;LCD_B6;EVENTOUT;TIM16_CH1, TIM4_CH3, DFSDM1_CKIN7, I2C1_SCL, I2C4_SCL, SDMMC1_CKIN, UART4_RX, FDCAN1_RX, SDMMC2_D4, ETH_MII_TXD3, SDMMC1_D4, DCMI_D6, LCD_B6, EVENTOUT;;;
PB9;C9;D6;169;196;D4;I/O;FT_fh;;TIM17_CH1;TIM4_CH4;DFSDM1_DATIN7;I2C1_SDA;SPI2_NSS/I2S2_WS;I2C4_SDA;SDMMC1_CDIR;UART4_TX;FDCAN1_TX;SDMMC2_D5;I2C4_SMBA;SDMMC1_D5;DCMI_D7;LCD_B7;EVENTOUT;TIM17_CH1, TIM4_CH4, DFSDM1_DATIN7, I2C1_SDA, SPI2_NSS/I2S2_WS, I2C4_SDA, SDMMC1_CDIR, UART4_TX, FDCAN1_TX, SDMMC2_D5, I2C4_SMBA, SDMMC1_D5, DCMI_D7, LCD_B7, EVENTOUT;;;
PE0;B10;D4;170;197;C4;I/O;FT_h;;LPTIM1_ETR;TIM4_ETR;HRTIM_SCIN;LPTIM2_ETR;;;;UART8_RX;;SAI2_MCLK_A;;FMC_NBL0;DCMI_D2;;EVENTOUT;LPTIM1_ETR, TIM4_ETR, HRTIM_SCIN, LPTIM2_ETR, UART8_RX, SAI2_MCLK_A, FMC_NBL0, DCMI_D2, EVENTOUT;;;
PE1;D8;C4;171;198;B4;I/O;FT_h;;LPTIM1_IN2;;HRTIM_SCOUT;;;;;UART8_TX;;;;FMC_NBL1;DCMI_D3;;EVENTOUT;LPTIM1_IN2, HRTIM_SCOUT, UART8_TX, FMC_NBL1, DCMI_D3, EVENTOUT;;;
VCAP;A11;A4;172;199;A7;S;;;;;;;;;;;;;;;;;;;;;
VSS;C10;;173;200;B6;S;;;;;;;;;;;;;;;;;;;;;
PDR_ON;E7;B3;174;201;E7;I;FT;;;;;;;;;;;;;;;;;;;;
VDDLDO;A12;A3;175;202;A6;S;;;;;;;;;;;;;;;;;;;;;
VDD;B11;;;;VDD;S;;;;;;;;;;;;;;;;;;;;;
PI4;;;;203;A4;I/O;FT_h;;;;TIM8_BKIN;;;;;;;SAI2_MCLK_A;TIM8_BKIN_COMP12;FMC_NBL2;DCMI_D5;LCD_B4;EVENTOUT;TIM8_BKIN, SAI2_MCLK_A, TIM8_BKIN_COMP12, FMC_NBL2, DCMI_D5, LCD_B4, EVENTOUT;;;
PI5;;;;204;A3;I/O;FT_h;;;;TIM8_CH1;;;;;;;SAI2_SCK_A;;FMC_NBL3;DCMI_VSYNC;LCD_B5;EVENTOUT;TIM8_CH1, SAI2_SCK_A, FMC_NBL3, DCMI_VSYNC, LCD_B5, EVENTOUT;;;
PI6;;;;205;A2;I/O;FT_h;;;;TIM8_CH2;;;;;;;SAI2_SD_A;;FMC_D28;DCMI_D6;LCD_B6;EVENTOUT;TIM8_CH2, SAI2_SD_A, FMC_D28, DCMI_D6, LCD_B6, EVENTOUT;;;
PI7;;;;206;B3;I/O;FT_h;;;;TIM8_CH3;;;;;;;SAI2_FS_A;;FMC_D29;DCMI_D7;LCD_B7;EVENTOUT;TIM8_CH3, SAI2_FS_A, FMC_D29, DCMI_D7, LCD_B7, EVENTOUT;;;
VSS;;;;207;;S;;;;;;;;;;;;;;;;;;;;;
VDD;B11;;176;208;VDD;S;;;;;;;;;;;;;;;;;;;;;
VSS;M13;;;;;S;;;;;;;;;;;;;;;;;;;;;
DNC;A13;;;;;;;;;;;;;;;;;;;;;;;;;;
VSSDSI;;;;;M15;S;;;;;;;;;;;;;;;;;;;;;
