Pin name;LQFP144;UFBGA176+25;LQFP176;LQFP208;TFBGA240+25;Pin type;I/O structure;AF0;AF1;AF2;AF3;AF4;AF5;AF6;AF7;AF8;AF9;AF10;AF11;AF12;AF13;AF14;AF15;Alternate functions;Additional functions;Footnotes;Remarks
PB2;51;P7;57;65;R6;I/O;FT_ha;RTC_OUT;;SAI1_D1;;DFSDM1_CKIN1;;SAI1_SD_A;SPI3_MOSI/I2S3_SDO;SAI4_SD_A;QUADSPI_CLK;SAI4_D1;;;;;EVENTOUT;RTC_OUT, SAI1_D1, DFSDM1_CKIN1, SAI1_SD_A, SPI3_MOSI/I2S3_SDO, SAI4_SD_A, QUADSPI_CLK, SAI4_D1, EVENTOUT;COMP1_INP;;
PI15;;;;66;P5;I/O;FT;;;;;;;;;;LCD_G2;;;;;LCD_R0;EVENTOUT;LCD_G2, LCD_R0, EVENTOUT;;;
PJ0;;;;;N6;I/O;FT;;;;;;;;;;LCD_R7;;;;;LCD_R1;EVENTOUT;LCD_R7, LCD_R1, EVENTOUT;;;
PJ1;;;;;P6;I/O;FT;;;;;;;;;;;;;;;LCD_R2;EVENTOUT;LCD_R2, EVENTOUT;;;
PJ2;;;;;T6;I/O;FT;;;;;;;;;;;;;;;LCD_R3;EVENTOUT;LCD_R3, EVENTOUT;;;
PJ3;;;;;U6;I/O;FT;;;;;;;;;;;;;;;LCD_R4;EVENTOUT;LCD_R4, EVENTOUT;;;
PJ4;;;;;U7;I/O;FT;;;;;;;;;;;;;;;LCD_R5;EVENTOUT;LCD_R5, EVENTOUT;;;
PF11;52;N7;58;67;T7;I/O;FT_a;;;;;;SPI5_MOSI;;;;;SAI2_SD_B;;FMC_SDNRAS;DCMI_D12;;EVENTOUT;SPI5_MOSI, SAI2_SD_B, FMC_SDNRAS, DCMI_D12, EVENTOUT;ADC1_INP2;;
PF12;;P11;59;68;R7;I/O;FT_ha;;;;;;;;;;;;;FMC_A6;;;EVENTOUT;FMC_A6, EVENTOUT;ADC1_INN2, ADC1_INP6;;
VSS;;F10;;;J3;S;;;;;;;;;;;;;;;;;;;;;
VDD;;L12;;;H5;S;;;;;;;;;;;;;;;;;;;;;
PF13;;N11;60;69;P7;I/O;FT_ha;;;;DFSDM1_DATIN6;I2C4_SMBA;;;;;;;;FMC_A7;;;EVENTOUT;DFSDM1_DATIN6, I2C4_SMBA, FMC_A7, EVENTOUT;ADC2_INP2;;
PF14;53;R10;61;70;P8;I/O;FT_fha;;;;DFSDM1_CKIN6;I2C4_SCL;;;;;;;;FMC_A8;;;EVENTOUT;DFSDM1_CKIN6, I2C4_SCL, FMC_A8, EVENTOUT;ADC2_INN2, ADC2_INP6;;
PF15;54;N10;62;71;R9;I/O;FT_fh;;;;;I2C4_SDA;;;;;;;;FMC_A9;;;EVENTOUT;I2C4_SDA, FMC_A9, EVENTOUT;;;
PG0;;P8;63;72;T8;I/O;FT_h;;;;;;;;;;;;;FMC_A10;;;EVENTOUT;FMC_A10, EVENTOUT;;;
VSS;55;F12;64;73;J16;S;;;;;;;;;;;;;;;;;;;;;
VDD;56;M5;65;74;H13;S;;;;;;;;;;;;;;;;;;;;;
PG1;;N9;66;75;U8;I/O;TT_h;;;;;;;;;;;;;FMC_A11;;;EVENTOUT;FMC_A11, EVENTOUT;OPAMP2_VINM;;
